Position,Artist,Title,MBID
1,Omi,Cheerleader (Felix Jaehn Remix),38629b7b-d103-4659-a8ad-5b5634a59dbb
2,Lost Frequencies,Are You With Me,ee3ce507-2d82-4493-bebd-b55e9e8cb863
3,Felix Jaehn feat. Jasmine Thompson,Ain't Nobody (Loves Me Better),d61e5ae9-f9c0-4a5b-9f98-b0db7f98e439
4,Ellie Goulding,Love Me Like You Do,8f8a3f12-bf98-4599-8d3e-3e41b3a2a7e2
5,Major Lazer & DJ Snake feat. MØ,Lean On,1eff5b47-1544-4a4d-921a-ecfa36ce193d
6,Sido feat. Andreas Bourani,Astronaut,4f019f6f-1331-4766-9ff3-b680211d150b
7,Adele,Hello,8e9d3c19-f2c2-4b41-9488-6a75a2d7d5ee
8,Robin Schulz feat. Francesco Yates,Sugar,fae51718-c255-4c91-88f5-9e1ba55888af
9,Wiz Khalifa feat. Charlie Puth,See You Again,0c594ffe-4be7-4750-9f48-2f077fd7f506
10,Kygo feat. Conrad,Firestone,82d2f002-9e57-4311-ac40-78ec838afd99
11,Philipp Dittberner & Marv,Wolke 4,cb571a6a-2df2-48f3-8d12-494f083e686c
12,Namika,Lieblingsmensch,0f3b9c63-5091-4979-b909-b1772fbaa818
13,Sarah Connor,Wie schön du bist,55217845-60d5-48dc-bbcb-a37ed8bb9784
14,Lost Frequencies feat. Janieck Devy,Reality,1bfa3bf0-a22c-40fc-8df1-d910da8092a0
15,Anna Naklab feat. Alle Farben & Younotus,Supergirl,f349f55f-0dcb-40b6-b308-f2d139eadac3
16,Jason Derulo,Want To Want Me,f4697b36-19cc-426d-aec9-d3314afb2fae
17,Gestört aber GeiL & Koby Funk feat. Wincent Weiss,Unter meiner Haut,bfed96ec-9f62-415f-b232-5f1b98388e0d
18,Ed Sheeran,Photograph,f008970e-226f-4c2e-bf36-841ac4676d56
19,Robin Schulz feat. Ilsey,Headlights,4f59c054-b71b-42e0-8ab1-3a391dde0246
20,Kygo feat. Parson James,Stole The Show,10707b84-5f9c-459f-9785-7df7c484d15d
21,Madcon feat. Ray Dalton,Don't Worry,000bd82e-d6d7-4817-818d-3757df55abf4
