Position,Artist,Title
1,Alan Walker,Faded
2,Stereoact feat. Kerstin Ott,Die immer lacht
3,Sia feat. Sean Paul,Cheap Thrills
4,Imany,Don't Be So Shy (Filatov & Karas Remix)
5,Drake feat. Wizkid & Kyla,One Dance
6,Kungs vs. Cookin' On 3 Burners,This Girl
7,The Chainsmokers feat. Daya,Don't Let Me Down
8,Twenty One Pilots,Stressed Out
9,Rag'n'Bone Man,Human
10,Justin Timberlake,Can't Stop The Feeling!
11,Mike Posner,I Took A Pill In Ibiza
12,Justin Bieber,Love Yourself
13,Jonas Blue feat. Dakota,Fast Car
14,Disturbed,The Sound Of Silence
15,Major Lazer feat. Justin Bieber & MØ,Cold Water
16,DJ Snake feat. Justin Bieber,Let Me Love You
17,Calvin Harris feat. Rihanna,This Is What You Came For
18,The Chainsmokers feat. Halsey,Closer
19,G-Eazy x Bebe Rexha,"Me, Myself & I"
20,Jennifer Lopez,Ain't Your Mama
21,Mark Forster,Wir sind gross
22,Lukas Graham,7 Years
23,Felix Jaehn feat. Alma,Bonfire
24,Shawn Mendes,Treat You Better
25,Andreas Gabalier,Hulapalu
26,Alle Farben feat. Younotus,Please Tell Rosie
27,Mike Perry feat. Shy Martin,The Ocean
28,Coldplay,Hymn For The Weekend
29,Major Lazer feat. Nyla & Fuse ODG,Light It Up (Remix)
30,Fifth Harmony feat. Ty Dolla $ign,Work From Home
31,Max Giesinger,80 Millionen
32,Desiigner,Panda
33,Gnash feat. Olivia O'Brien,"I Hate U, I Love U"
34,Twenty One Pilots,Heathens
35,Shawn Mendes,Stitches
36,DNCE,Cake By The Ocean
37,Galantis,No Money
38,Beginner feat. Gzuz & Gentleman,Ahnma
39,EFF,Stimme
40,Glasperlenspiel,Geiles Leben
41,257ers,Holz
42,David Guetta feat. Zara Larsson,This One's For You
43,Rihanna feat. Drake,Work
44,Sia feat. Kendrick Lamar,The Greatest
45,Cheat Codes x Kris Kross Amsterdam,Sex
46,"Lil Wayne, Wiz Khalifa & Imagine Dragons feat. Logic, Ty Dolla $ign & X Ambassadors",Sucker For Pain
47,Bonez MC & RAF Camora,Palmen aus Plastik
48,Justin Bieber,Sorry
49,The Weeknd feat. Daft Punk,Starboy
50,Jonas Blue feat. JP. Cooper,Perfect Strangers
51,Alan Walker,Sing Me To Sleep
52,Matt Simons,Catch & Release (Deepend Remix)
53,"David Guetta, Cedric Gervais & Chris Willis",Would I Lie To You
54,Zara Larsson,Lush Life
55,Bonez MC & RAF Camora feat. Maxwell,Ohne mein Team
56,Topic feat. Nico Santos,Home
57,Era Istrefi,Bonbon
58,Calvin Harris,My Way
59,Clean Bandit feat. Sean Paul & Anne-Marie,Rockabye
60,Martin Garrix & Bebe Rexha,In The Name Of Love
61,Elle King,Ex's & Oh's
62,Enrique Iglesias feat. Wisin,Duele el corazón
63,MØ,Final Song
64,Frans,If I Were Sorry
65,Drake feat. Rihanna,Too Good
66,Julian Perretta,Miracle
67,Flo Rida,My House
68,The Strumbellas,Spirits
69,Walking On Cars,Speeding Cars
70,Adele,Hello
71,X Ambassadors,Renegades
72,Dua Lipa,Be The One
73,Twenty One Pilots,Ride
74,257ers,Holland
75,Robin Schulz & J.U.D.G.E.,Show Me Love
76,Mark Forster,Chöre
77,SDP feat. Adel Tawil,Ich will nur dass du weißt
78,Zara Larsson & MNEK,Never Forget You
79,James Arthur,Say You Won't Let Go
80,Alvaro Soler,Sofia
81,Wincent Weiss,Musik sein
82,Robin Schulz feat. Francesco Yates,Sugar
83,Milow,Howling At The Moon
84,Sigala feat. Bryn Christopher,Sweet Lovin'
85,Robin Schulz feat. Akon,Heatwave
86,The Chainsmokers feat. Rozes,Roses
87,Miami Yacine,Kokaina
88,Zayn,Pillowtalk
89,Zara Larsson,Ain't My Fault
90,Yall feat. Gabriela Richardson,Hundred Miles
91,Ali Bumaye feat. Shindy,Sex ohne Grund
92,Meghan Trainor,No
93,Shawn Mendes,Mercy
94,Lil Kleine & Ronnie Flex,Stoff und Schnaps
95,Frenship + Emily Warren,Capsize
96,Ariana Grande feat. Nicki Minaj,Side To Side
97,Sido feat. Andreas Bourani,Astronaut
98,Bonez MC & RAF Camora feat. Gzuz,Mörder
99,OneRepublic,Wherever I Go
100,P!nk,Just Like Fire
