Position,Artist,Title
1,Omi,Cheerleader (Felix Jaehn Remix)
2,Lost Frequencies,Are You With Me
3,Felix Jaehn feat. Jasmine Thompson,Ain't Nobody (Loves Me Better)
4,Ellie Goulding,Love Me Like You Do
5,Major Lazer & DJ Snake feat. MØ,Lean On
6,Sido feat. Andreas Bourani,Astronaut
7,Adele,Hello
8,Robin Schulz feat. Francesco Yates,Sugar
9,Wiz Khalifa feat. Charlie Puth,See You Again
10,Kygo feat. Conrad,Firestone
11,Philipp Dittberner & Marv,Wolke 4
12,Namika,Lieblingsmensch
13,Sarah Connor,Wie schön du bist
14,Lost Frequencies feat. Janieck Devy,Reality
15,Anna Naklab feat. Alle Farben & Younotus,Supergirl
16,Jason Derulo,Want To Want Me
17,Gestört aber GeiL & Koby Funk feat. Wincent Weiss,Unter meiner Haut
18,Ed Sheeran,Photograph
19,Robin Schulz feat. Ilsey,Headlights
20,Kygo feat. Parson James,Stole The Show
21,Madcon feat. Ray Dalton,Don't Worry
22,Mark Ronson feat. Bruno Mars,Uptown Funk!
23,Cro,Bye Bye
24,Glasperlenspiel,Geiles Leben
25,Rihanna and Kanye West and Paul McCartney,FourFiveSeconds
26,Joris,Herz über Kopf
27,MoTrip feat. Lary,So wie du bist
28,Calvin Harris + Disciples,How Deep Is Your Love
29,James Newton Howard feat. Jennifer Lawrence,The Hanging Tree
30,Hozier,Take Me To Church
31,Martin Solveig & GTA,Intoxicated
32,Avicii,Waiting For Love
33,James Bay,Hold Back The River
34,David Guetta feat. Nicki Minaj & Afrojack,Hey Mama
35,Walk The Moon,Shut Up + Dance
36,Mark Forster,Flash mich
37,Louane,Avenir
38,Years & Years,King
39,Feder feat. Lyse,Goodbye
40,Calvin Harris feat. Ellie Goulding,Outside
41,Nicky Jam & Enrique Iglesias,El perdón
42,Justin Bieber,What Do You Mean?
43,Ed Sheeran,Thinking Out Loud
44,Adam Lambert,Ghost Town
45,Kwabs,Walk
46,Andreas Bourani,Auf anderen Wegen
47,The Weeknd,Can't Feel My Face
48,R. City feat. Adam Levine,Locked Away
49,Fifth Harmony feat. Kid Ink,Worth It
50,Helene Fischer,Atemlos durch die Nacht
51,SDP feat. Adel Tawil,Ich will nur dass du weißt
52,Justin Bieber,Sorry
53,Philip George,Wish You Were Mine
54,The Weeknd,The Hills
55,Felix Jaehn feat. Polina,Book Of Love
56,Zara Larsson,Lush Life
57,Flo Rida feat. Sage The Gemini & Lookas,G.D.F.R.
58,Robin Schulz feat. Jasmine Thompson,Sun Goes Down
59,Deorro x Chris Brown,Five More Hours
60,LunchMoney Lewis,Bills
61,AronChupa,I'm An Albatraoz
62,Sigala,Easy Love
63,Echosmith,Cool Kids
64,John Legend,All Of Me
65,Charli XCX,Break The Rules
66,Carly Rae Jepsen,I Really Like You
67,David Guetta feat. Sam Martin,Dangerous
68,Meghan Trainor,Lips Are Movin
69,Lena,Traffic Lights
70,Matt Simons,Catch & Release (Deepend Remix)
71,Lena,Wild & Free
72,Olly Murs feat. Demi Lovato,Up
73,Chris Brown x Tyga,Ayo
74,Skrillex & Diplo feat. Justin Bieber,Where Are Ü Now
75,Flo Rida feat. Robin Thicke & Verdine White,"I Don't Like It, I Love It"
76,Andreas Bourani,Auf uns
77,Charlie Puth feat. Meghan Trainor,Marvin Gaye
78,Omi,Hula Hoop
79,Johannes Oerding,Alles brennt
80,Taylor Swift,Blank Space
81,Avicii,The Nights
82,The Avener,Fade Out Lines
83,David Guetta feat. Emeli Sandé,What I Did For Love
84,Klingande feat. Broken Back,Riva (Restart The Game)
85,DJ Snake & AlunaGeorge,You Know You Like It
86,Ellie Goulding,On My Mind
87,DJ Antoine feat. Akon,Holiday
88,Gestört aber GeiL feat. Sebastian Hämer,Ich & du
89,The Weeknd,Earned It
90,Mark Forster,Bauch und Kopf
91,Alvaro Soler,El mismo sol
92,XOV,Lucifer
93,Robin Schulz & J.U.D.G.E.,Show Me Love
94,Calvin Harris feat. Haim,Pray To God
95,Kelly Clarkson,Heartbeat Song
96,Pitbull & Ne-Yo,Time Of Our Lives
97,K.I.Z. feat. Henning May,Hurra die Welt geht unter
98,Justin Bieber,Love Yourself
99,Mark Forster feat. Sido,Au revoir
100,Lilly Wood & The Prick and Robin Schulz,Prayer In C (Robin Schulz Remix)
