Position,Artist,Title
1,Nathan Evans,Wellerman
2,Ed Sheeran,Bad Habits
3,Tiësto,The Business
4,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit)
5,The Weeknd,Save Your Tears
6,The Kid Laroi / Justin Bieber,Stay
7,Shouse,Love Tonight
8,atb x Topic x A7S,Your Love (9PM)
9,The Weeknd,Blinding Lights
10,Olivia Rodrigo,Good 4 U
11,Bausa feat. Apache 207,Madonna
12,Joel Corry feat. MNEK,Head & Heart
13,Lil Nas X,Montero (Call Me By Your Name)
14,Måneskin,Beggin'
15,Masked Wolf,Astronaut In The Ocean
16,Pashanim,Sommergewitter
17,Montez,Auf & ab
18,Kasimir1441 x Badmómzjay,Ohne Dich
19,Glass Animals,Heat Waves
20,24kGoldn feat. Iann Dior,Mood
21,P!nk + Willow Sage Hart,Cover Me In Sunshine
22,Zoe Wees,Girls Like Us
23,The Kid Laroi,Without You
24,Jason Derulo x Nuka,Love Not War (The Tampa Beat)
25,Måneskin,I Wanna Be Your Slave
26,Olivia Rodrigo,Drivers License
27,RAF Camora feat. Bonez MC,Blaues Licht
28,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes
29,Robin Schulz feat. Kiddo,All We Got
30,Apache 207,Roller
31,Ofenbach feat. Lagique,Wasted Love
32,Justin Wellington and Small Jam,Iko Iko
33,Ed Sheeran,Shivers
34,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix)
35,Meduza feat. Dermot Kennedy,Paradise
36,Jamule,Liege wieder wach
37,Justin Bieber feat. Daniel Caesar & Giveon,Peaches
38,Lost Frequencies / Calum Scott,Where Are You Now
39,Shirin David,Ich darf das
40,Mark Forster x Lea,Drei Uhr nachts
41,Miksu / Macloud / Jamule / Nimo,Frag mich nicht
42,Dua Lipa,Levitating
43,Lil Nas X & Jack Harlow,Industry Baby
44,Tones And I,Dance Monkey
45,Tinlicker & Helsloot,Because You Move Me
46,Leony,Faded Love
47,Pajel,10von10
48,Purple Disco Machine & Sophie And The Giants,Hypnotized
49,Elton John & Dua Lipa,Cold Heart
50,Vize x Tokio Hotel,White Lies
51,Ed Sheeran,Afterglow
52,Mariah Carey,All I Want For Christmas Is You
53,Samra x Topic42,Lost
54,OneRepublic,Run
55,Tate McRae,You Broke Me First
56,Shirin David,Lieben wir
57,Wes Nelson & Yxng Bane,Nice To Meet Ya
58,Wincent Weiss,Wer wenn nicht wir
59,CKay feat. ElGrande Toto,Love Nwantiti (North African Remix)
60,SAINt JHN,Roses (Imanbek Remix)
61,Wham!,Last Christmas
62,Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat)
63,"187 Strassenbande / Bonez, Frauenarzt",Extasy
64,"01099 - Gustav, Zachi",Durstlöscher
65,HVME,Goosebumps
66,Topic feat. A7S,Breaking Me
67,Adele,Easy On Me
68,Tom Odell,Another Love
69,Twocolors,Lovefool
70,Milky Chance,Colorado
71,Farruko,Pepas
72,Apache 207,Angst
73,ART [DE],Belgisches Viertel
74,Joel Corry / Raye / David Guetta,Bed
75,Ava Max,My Head & My Heart
76,Alvaro Soler,Magia
77,Travis Scott feat. Kendrick Lamar,Goosebumps
78,Coldplay,Higher Power
79,Robin Schulz & Felix Jaehn feat. Alida,One More Time
80,Santos x Sido x Samra,Leere Hände
81,RAF Camora x Juju,Wenn du mich siehst
82,Mark Forster,Übermorgen
83,01099 - Gustav,Frisch
84,Luciano,Schmetterling
85,Joel Corry & Jax Jones feat. Charli XCX & Saweetie,Out Out
86,Super-Hi x Neeka,Following The Sun
87,RAF Camora feat. Luciano,2CB
88,CJ,Whoopty
89,Luna [DE],Verlierer
90,Miley Cyrus feat. Dua Lipa,Prisoner
91,Chris Rea,Driving Home For Christmas
92,Doja Cat feat. SZA,Kiss Me More
93,Cro feat. Capital Bra,Blessed
94,Vize x Joker Bra x Leony,Paradise
95,Doja Cat,Woman
96,Helene Fischer feat. Luis Fonsi,Vamos a marte
97,HBz,King Kong
98,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade
99,Melanie Thornton,Wonderful Dream (Holidays Are Coming)
100,Shakin' Stevens,Merry Christmas Everyone
