Position,Artist,Title
1,Lil Nas X,Old Town Road
2,Tones And I,Dance Monkey
3,Apache 207,Roller
4,Juju feat. Henning May,Vermissen
5,Ava Max,Sweet But Psycho
6,Billie Eilish,Bad Guy
7,Shawn Mendes & Camila Cabello,Señorita
8,Ed Sheeran & Justin Bieber,I Don't Care
9,Capital Bra x Samra,Tilidin
10,Samra & Capital Bra,Wieder Lila
11,Daddy Yankee feat. Snow,Con calma
12,Lewis Capaldi,Someone You Loved
13,Meduza feat. Goodboys,Piece Of Your Heart
14,Capital Bra x Samra & Lea,110
15,Sarah Connor,Vincent
16,Lady Gaga & Bradley Cooper,Shallow
17,Bonez MC & RAF Camora,500 PS
18,Mabel [UK],Don't Call Me Up
19,Dynoro & Gigi D'Agostino,In My Mind
20,Rammstein,Deutschland
21,Capital Bra,Cherry Lady
22,Apache 207,200 km/h
23,Capital Bra,Benzema
24,Capital Bra,Prinzessa
25,Ed Sheeran feat. Khalid,Beautiful People
26,Bausa,Mary
27,Robin Schulz feat. Erika Sirola,Speechless
28,Panic! At The Disco,High Hopes
29,Mero,Wolke 10
30,DJ Snake & J Balvin feat. Tyga,Loco contigo
31,Sido,Tausend Tattoos
32,Imagine Dragons,Bad Liar
33,Calvin Harris & Rag'n'Bone Man,Giant
34,Loredana feat. Mozzik,Eiskalt
35,Mero,Baller los
36,Avicii feat. Aloe Blacc,SOS
37,Shirin David,Gib ihm
38,C Arma,Yapma
39,Post Malone,Wow.
40,Loredana,Jetzt rufst du an
41,Ariana Grande,7 Rings
42,KC Rebell feat. Summer Cem & Capital Bra,DNA
43,Apache 207,Wieso tust Du dir das an?
44,Summer Cem feat. Capital Bra,Diamonds
45,Dardan,Coco Mama
46,Vize feat. Laniia,Stars
47,Mero,Hobby Hobby
48,Younotus & Janieck & Senex,Narcotic
49,Halsey,Without Me
50,Capital Bra feat. Summer Cem & KC Rebell,Rolex
51,Jonas Brothers,Sucker
52,Sido feat. Apache 207,2002
53,Shindy,Nautilus
54,Shindy,Affalterbach
55,Alec Benjamin,Let Me Down Slowly
56,Capital Bra x Samra,Wir ticken
57,"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard
58,Kygo x Whitney Houston,Higher Love
59,OneRepublic,Rescue Me
60,Loredana feat. Mero,Kein Plan
61,Alle Farben & Ilira,Fading
62,Shindy,DODI
63,Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart
64,Tim Bendzko,Hoch
65,Lum!x & Gabry Ponte,Monster
66,Dean Lewis,Be Alright
67,R3hab x A Touch Of Class,All Around The World (La La La)
68,The Prince Karma,Later Bitches
69,Loud Luxury feat. Brando,Body
70,Shirin David feat. Maître Gims,On Off
71,Eno feat. Mero,Ferrari
72,Luciano,La haine
73,Samra x Capital Bra,Huracan
74,Regard,Ride It
75,Eno,Blackberry Sky
76,Robin Schulz feat. Harlœ,All This Love
77,The Cratez & Bonez MC,Honda Civic
78,Gaullin,Moonlight
79,Lena x Nico Santos,Better
80,Marshmello & Bastille,Happier
81,Samra x Capital Bra,Zombie
82,Kerstin Ott & Helene Fischer,Regenbogenfarben
83,Dominic Fike,3 Nights
84,"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki
85,Fero47,Jaja
86,Post Malone,Circles
87,Samra,Harami
88,RIN & Bausa,Keine Liebe
89,Loredana,Genick
90,Post Malone feat. Young Thug,Goodbyes
91,SDP feat. Capital Bra,Viva la Dealer
92,Summer Cem feat. Luciano,Summer Cem
93,Apache 207,Kein Problem
94,KC Rebell,Alleen
95,Martin Garrix feat. Macklemore & Patrick Stump of Fall Out Boy,Summer Days
96,Ava Max,So Am I
97,Kontra K feat. Veysel,Blei
98,Capital Bra x Samra,Nummer 1
99,Ufo361 feat. Data Luv,Shot
100,The Chainsmokers & Illenium feat. Lennon Stella,Takeaway
