Position,Artist,Title,MBID
33,"Enrique Iglesias feat. Descemer Bueno, Zion & Lennox",Súbeme la radio,0e22bef4-0e8b-4ad8-a524-7ae27b7c9714
34,Clean Bandit feat. Zara Larsson,Symphony,6a9268d0-8051-40ec-96df-742107b3360e
35,Justin Bieber + BloodPop®,Friends,3f48bd8a-1c07-40d0-8c6d-ec0429cba3c8
36,Gestört aber GeiL feat. Lea,Wohin willst du,473b54aa-cb52-420e-b1a0-c24227a76b07
37,Imagine Dragons,Believer,f3645b47-224b-4190-8c24-2741aab235cb
38,The Chainsmokers,Paris,7ea6bb55-f990-456f-be4a-67520f41f649
39,P!nk,What About Us,1cf3457e-f56c-4e4b-a372-3eee640d5cbb
40,"DJ Khaled feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One,474abc30-a329-4af0-abbd-9e0df493339c
41,Dua Lipa,New Rules,39b386c9-a9fd-44ca-a085-543abce812a6
42,Lauv,I Like Me Better,a5ddb256-b662-4df0-8b39-7cac2f44e462
43,"Felix Jaehn, Hight & Alex Aiono",Hot2Touch,8c36762f-41a5-43bd-bcf6-5189ceb55ad7
44,Starley,Call On Me,4af0f34c-c22b-4e04-99fb-e49fd397c848
45,Marshmello feat. Khalid,Silence,8d2fb8da-933f-45e8-86b4-aaf192c2a3b4
46,David Guetta feat. Justin Bieber,2U,1c9614e7-f0a8-4b84-8e85-a3f6f7640f25
47,Martin Jensen,Solo Dance,a26d400d-cd71-45f5-9f74-23d41d9fd3ac
48,Mark Forster,Sowieso,58630fae-5051-4e40-b1e2-286889418167
49,Miami Yacine,Bon voyage,9ed7bf5d-e0d2-4ddd-b239-671d9c245851
50,Cro,Unendlichkeit,2972b93a-ca3c-4de6-9048-853929feb406
51,Alle Farben & Janieck,Little Hollywood,62a412d3-0b4e-466c-a53e-b0c07da7a557
52,Martin Garrix & Dua Lipa,Scared To Be Lonely,27cbb272-0e12-4677-8c62-01ae9d00757f
53,Future,Mask Off,7f205890-07f3-487c-bef1-e7d251dc867b
54,Maître Gims feat. Dany Synthé,Loin,b26e5a13-ff28-41db-8c8d-1eeb09a5f879
55,Adel Tawil,Ist da jemand,2fc1080f-5feb-4fb5-bd83-3f873598ee21
56,Rag'n'Bone Man,Skin,b5a11f7c-9ec7-4b1d-b681-697cb2df5322
57,Zedd & Alessia Cara,Stay,c639db2d-0d82-4870-932a-c5aa963a3b0a
58,Zuna feat. Azet & Noizy,Nummer 1,
59,"Calvin Harris feat. Pharrell Williams, Katy Perry & Big Sean",Feels,dc0c8aaa-5772-427b-89b1-acc9bd17e4b9
60,Helene Fischer,Herzbeben,1e09e7ae-97c2-48f9-9748-224d0ebb4a89
61,Kaleo,Way Down We Go,6403a189-8382-4f75-b693-d6a52b82b81d
62,Alan Walker,Alone,e63ffb76-2686-4fad-9016-3069681fa916
63,Mark Forster,Chöre,bcea27ee-3d28-404e-8409-2b16637d1e99
64,Katy Perry feat. Skip Marley,Chained To The Rhythm,20d81d37-fc4f-4e7b-baf3-626ba2079792
65,RAF Camora,Primo,74073b96-dd64-4fa8-9510-c00a99809a5b
66,Welshly Arms,Legendary,903ab349-d31f-4142-99c0-85d3937871c0
67,Rin,Bros,12838ff3-446d-4e25-976f-b956d2c1690f
68,Maggie Lindemann,Pretty Girl,06f6a556-ed3c-4d0d-8ebd-e90f4965e72e
69,Kay One,Louis Louis,6babaf5d-1a03-4c9a-8ec6-2e338b365efc
70,Macklemore feat. Skylar Grey,Glorious,4bf45f32-370d-4b2b-8123-cd9ba3d28e41
71,Bonez MC / RAF Camora / GZUZ / Maxwell,Kontrollieren,
72,Capo feat. Nimo,Lambo Diablo GT,1b545818-bb70-49bc-8d09-80112ac3ee34
73,RIN,Monica Bellucci,fed77513-0511-4749-929c-91d56fffa695
74,Ufo361,Nice Girl 2.0,3adeec5c-5152-4664-9863-edc5cc376509
75,Harry Styles,Sign Of The Times,4d02b763-64b5-44f3-9593-be9513f1db89
76,Portugal. The Man,Feel It Still,4de59865-3cc8-4729-9062-37ad81cf7beb
77,"187 Strassenbande feat. Bonez MC, Gzuz",Millionär,
78,Jon Bellion,All Time Low,26a174eb-33cf-4d1c-b88e-fb9ef3a43717
79,Alma [FI],Chasing Highs,
80,Robin Schulz & David Guetta feat. Cheat Codes,Shed A Light,84edd3df-274a-4b0f-ba98-108e3f5f15bf
81,Taylor Swift,Look What You Made Me Do,0268c4a0-8868-42b2-b1b0-6ad82b02519a
82,KC Rebell x Summer Cem,Murcielago,
83,Sean Paul feat. Dua Lipa,No Lie,18ba0b63-bf8f-4889-96c7-d3f3b5f387f1
84,Andreas Gabalier,Hulapalu,70eed793-6363-4205-ad29-e7c05aa72780
85,Rag'n'Bone Man,Human,577d944f-bce7-480f-939a-31f60b0f52e7
86,Veysel,Kleiner Cabrón,21c5794c-b482-444d-9adf-2cb91ceff165
87,Kurdo,Ya Salam,fe6fab6d-e4ff-4dc1-b622-b0d8aeb81c8b
88,Maroon 5 feat. SZA,What Lovers Do,3511dc0d-aa18-48af-a17c-3826aa33c1d7
89,Bonez MC & RAF Camora,Palmen aus Plastik,22b0025d-044f-4f9c-a0b5-9c897c46166e
90,Avicii feat. Sandro Cavazza,Without You,5e4fa98a-1303-4ed6-b751-4952ba24f190
91,Alle Farben,Bad Ideas,8af95ad9-ae4f-424f-a5a6-6e5a32f384e0
92,Sia,Never Give Up,ffa3ec8e-bb84-499d-ac34-6f91cedc5f00
93,Julia Michaels,Issues,e4e52b8c-2a99-41e6-9795-751b12776a89
94,Sage The Gemini,Now & Later,1cad4459-21bf-4517-a543-6437925287da
95,Imagine Dragons,Whatever It Takes,502ac112-7972-4ca5-8545-344b4a49b6be
96,Sam Smith,Too Good At Goodbyes,e59d38c8-2323-4a09-8abf-f03d514e646a
97,The Weeknd feat. Daft Punk,Starboy,b364d4ff-b8cf-41ed-8f8c-7551bc707b57
98,Cheat Codes feat. Demi Lovato,No Promises,8a13b1ee-b81d-4172-8d65-aa6170f0b33d
99,Kendrick Lamar,Humble.,678f23c7-4726-48af-ad6d-4144d4a75109
100,Shakira feat. Maluma,Chantaje,e33b7f0d-b8d2-4d65-a045-197c66716b29
