Position,Artist,Title,MBID
1,Ed Sheeran,Shape Of You,c664a576-f0e5-4725-8d52-05ecfe4822d8
2,Luis Fonsi feat. Daddy Yankee,Despacito,678ce6e5-2bb6-4a5f-8a50-b65a4ccbc044
3,The Chainsmokers & Coldplay,Something Just Like This,77645558-ad88-48a4-b0f8-f4ff7562a77e
4,Imagine Dragons,Thunder,9503985b-5098-417c-9e50-5d36011a408e
5,Burak Yeter feat. Danelle Sandoval,Tuesday,31ee735f-7809-4bce-93bb-46181802ff28
6,Axwell Λ Ingrosso,More Than You Know,90b98021-6ee4-4140-bfc7-49c0fe8c69c5
7,Robin Schulz feat. James Blunt,OK,63b28fff-c145-4aef-81bd-52d7cac64590
8,Bausa,Was du Liebe nennst,8e5a0431-7a3f-4fa5-87fc-0b670c64aa5e
9,French Montana feat. Swae Lee,Unforgettable,763b6986-ed14-40a3-94f7-41224260b79c
10,Ed Sheeran,Galway Girl,cef35ef2-fe16-4b79-93ad-9cfff8039cee
11,Jason Derulo feat. Nicki Minaj & Ty Dolla $ign,Swalla,eacb3f24-f080-4ed7-bd04-f673ec8e2ebc
12,Ed Sheeran,Perfect,2a0e6123-9673-47f8-acf8-de20c5e7265b
13,Kygo & Selena Gomez,It Ain't Me,b68393a7-e9b0-427d-92f7-76b923910eba
14,Alice Merton,No Roots,3204b83f-9f19-4f17-a09b-46b04ec0904c
15,J Balvin & Willy William,Mi gente,9ebf03c0-710b-4eeb-bbe7-6d6d0e2e9747
16,Jonas Blue feat. William Singe,Mama,cb09a609-011b-43e8-a1b5-247b1926d26a
17,Bonez MC & RAF Camora feat. Maxwell,Ohne mein Team,dba8ab92-1d66-4ba7-9462-5465b0926745
18,Camila Cabello feat. Young Thug,Havana,0f4eda4e-6c6c-427e-8728-c48d8f26921c
19,Shawn Mendes,There's Nothing Holdin' Me Back,d2555d82-571d-406c-8e96-21562753cebc
20,Jax Jones feat. Raye,You Don't Know Me,471aa043-dd5e-410d-84e0-abfebc321614
21,Post Malone feat. 21 Savage,Rockstar,474a0cf5-81cf-41e3-aaca-50cc189db6de
22,Charlie Puth,Attention,318d12f7-4e91-4583-936a-3693041fe5dc
23,Ed Sheeran,Castle On The Hill,790ecbb2-2944-4f29-805c-ee84a73d5018
24,Zayn feat. Sia,Dusk Till Dawn,30207b80-bc75-4123-aa96-a7049342d9cc
25,Kay One feat. Pietro Lombardi,Señorita,70585ded-fedc-4b44-8141-bcdd9171fb95
26,Ofenbach,Be Mine,b5c3f1b0-24b6-4d27-8395-c15f9769b342
27,Rita Ora,Your Song,e0672206-d5b8-45d4-b114-513ecf29a4e2
28,DJ Khaled feat. Rihanna & Bryson Tiller,Wild Thoughts,34f94722-b60f-4d6d-831f-b62c9a849841
29,Clean Bandit feat. Sean Paul & Anne-Marie,Rockabye,13f7ba19-553d-444a-81c1-e7fea9739bc9
30,Liam Payne feat. Quavo,Strip That Down,dba7d3ea-d333-4f6d-8800-a16e686802fd
31,Nimo,Heute mit mir,fdca92e4-ba3a-4cd8-9dce-92bfd8fd03ba
32,Zayn & Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),
