Position,Artist,Title,MBID
1,Nathan Evans,Wellerman,222a7f31-8528-4a25-8b81-9eda131dfce3
2,Ed Sheeran,Bad Habits,44dd4957-185f-4e40-bf4a-62fe58ac76d5
3,Tiësto,The Business,95bf2274-a403-42ba-a6fc-864402f7c635
4,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),d4a98fd3-9dba-45af-b777-24c5a7d8535c
5,The Weeknd,Save Your Tears,1e39f660-b464-4743-b775-f9cbbb95e2b7
6,The Kid Laroi / Justin Bieber,Stay,
7,Shouse,Love Tonight,558f49ba-80b8-43ca-85e4-1d5b77cbad2d
8,atb x Topic x A7S,Your Love (9PM),6a7160d6-2553-489e-a481-05918958977a
9,The Weeknd,Blinding Lights,5bdbfe86-4ad5-4c19-8d29-ee5f30ba628b
10,Olivia Rodrigo,Good 4 U,c0f4542d-bb04-4e4a-aa2f-89b346934a7a
11,Bausa feat. Apache 207,Madonna,
12,Joel Corry feat. MNEK,Head & Heart,877373c1-9f4a-4efb-91fd-dd217d0300eb
13,Lil Nas X,Montero (Call Me By Your Name),d6f62330-0ee9-4a97-ab2f-310464b2ab77
14,Måneskin,Beggin',76a875e9-ebf8-45c0-ad57-b04d503eba24
15,Masked Wolf,Astronaut In The Ocean,cee26028-b732-42a6-ae6e-96a9efd8f110
16,Pashanim,Sommergewitter,6a9b8815-76ec-4481-9081-4192a69831bd
17,Montez,Auf & ab,6c4875f8-9f7e-4b57-b5e6-66133cdba210
18,Kasimir1441 x Badmómzjay,Ohne Dich,
19,Glass Animals,Heat Waves,ba41bbef-81c5-465b-8bc1-127d6e2300d2
20,24kGoldn feat. Iann Dior,Mood,aebd1187-b1a9-4410-89dc-5749a6bfed8a
21,P!nk + Willow Sage Hart,Cover Me In Sunshine,a8acab82-3308-40a0-bbc4-eb390237b853
22,Zoe Wees,Girls Like Us,776b3e80-15c0-4f7b-aa68-24cb62e901c9
23,The Kid Laroi,Without You,2d9dfa36-418c-454b-956b-33ff362497d5
24,Jason Derulo x Nuka,Love Not War (The Tampa Beat),56f9df89-005f-4850-9650-d57e698a8a2b
25,Måneskin,I Wanna Be Your Slave,77e26854-b605-4cd9-87b5-b7b3ae2ee859
26,Olivia Rodrigo,Drivers License,c4ba8826-19fe-459f-b4dc-42c80e95f7fc
27,RAF Camora feat. Bonez MC,Blaues Licht,
28,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes,f3866c0c-37ef-4000-9f34-0e2e11970712
29,Robin Schulz feat. Kiddo,All We Got,1a40a03f-57ad-47c3-bea7-2980af540149
30,Apache 207,Roller,0dadaff9-765e-4b51-965d-df8f812706b9
31,Ofenbach feat. Lagique,Wasted Love,f8031fbc-9ad0-4d61-8487-157eb83f8461
32,Justin Wellington and Small Jam,Iko Iko,b1f6ed23-9a8a-42a0-944f-753960838e2b
33,Ed Sheeran,Shivers,72ed51c6-271c-4585-a210-ed3f27aceee7
34,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),89c972b8-2390-47d9-b907-20640e86e0fc
35,Meduza feat. Dermot Kennedy,Paradise,e628f151-d8b7-4063-ae01-c07e9a3c046f
36,Jamule,Liege wieder wach,872d58ec-d060-4033-bc11-83d6cf655eb3
37,Justin Bieber feat. Daniel Caesar & Giveon,Peaches,4f10daf2-f258-4f8d-87aa-2590fb4e671c
38,Lost Frequencies / Calum Scott,Where Are You Now,
39,Shirin David,Ich darf das,b6bb7979-f904-4e15-88d6-d97a07dd5cd4
40,Mark Forster x Lea,Drei Uhr nachts,
41,Miksu / Macloud / Jamule / Nimo,Frag mich nicht,
42,Dua Lipa,Levitating,7d5ffcfb-cac2-4b44-92de-8571e6987bc3
43,Lil Nas X & Jack Harlow,Industry Baby,13dac323-afa2-4787-a21b-d18275a3869b
44,Tones And I,Dance Monkey,fceef8ab-f844-45e8-822a-12d0ed536a4c
45,Tinlicker & Helsloot,Because You Move Me,366d3cbd-1ecb-4b95-9a0f-2e8ff4f5a461
46,Leony,Faded Love,d576ebb8-62fe-42c6-ae78-8f37d4c4e211
47,Pajel,10von10,a2c09319-d701-4c93-ab02-9835191df46d
48,Purple Disco Machine & Sophie And The Giants,Hypnotized,bd577eff-651b-44db-ada7-8cd1c00ef961
49,Elton John & Dua Lipa,Cold Heart,9c5c9b98-965e-4bc8-8e2a-4ca730aabcb3
50,Vize x Tokio Hotel,White Lies,203ddaec-0ece-4de5-be00-d0c7f59ea0fc
51,Ed Sheeran,Afterglow,0eafa19e-9241-476c-98ec-c684f0f47bdd
52,Mariah Carey,All I Want For Christmas Is You,88b1a733-5935-47c6-a2b2-9f72f072948f
53,Samra x Topic42,Lost,03e70757-140d-447e-853a-cdff9da43f4b
54,OneRepublic,Run,21230a8e-9760-4227-8f69-730896dfd473
