Position,Artist,Title,MBID
43,Apache 207,Wieso tust Du dir das an?,1ae35700-3e2e-4a65-adce-e3b02b2e3c74
44,Summer Cem feat. Capital Bra,Diamonds,60a41fcd-a2d0-444a-83bd-8542d85dc287
45,Dardan,Coco Mama,35d021e8-cb8e-4154-aecc-9ee0cf73652a
46,Vize feat. Laniia,Stars,da956532-283e-44d8-a458-cbf5214b8754
47,Mero,Hobby Hobby,1989fa81-5bd3-4151-bd71-8ff0e612402d
48,Younotus & Janieck & Senex,Narcotic,1ab81236-62ef-4e41-a3bf-814c29dcea71
49,Halsey,Without Me,01552e9a-11b0-4b5d-bcd5-cd15850ebd29
50,Capital Bra feat. Summer Cem & KC Rebell,Rolex,6942a149-0450-4c11-882e-ed00fcfb0e2d
51,Jonas Brothers,Sucker,a9b16d1e-3e23-452c-b7f3-e879cf6cbdd3
52,Sido feat. Apache 207,2002,78510602-e69c-492d-841a-88770525680d
53,Shindy,Nautilus,b3e198d4-8efb-438e-bdf1-485acec7d50e
54,Shindy,Affalterbach,d646854a-ae4c-4bd4-b15f-8c16187fc45b
55,Alec Benjamin,Let Me Down Slowly,19c889ab-aac6-46b5-94f6-0ba910ac9379
56,Capital Bra x Samra,Wir ticken,
57,"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard,5f7fd796-6531-4823-ad8d-6c029172237f
58,Kygo x Whitney Houston,Higher Love,eaef12be-a9c9-404e-a68e-4450a5fb8e6f
59,OneRepublic,Rescue Me,2b43f761-6639-4d40-a262-904bb4167375
60,Loredana feat. Mero,Kein Plan,0e3b331a-c7ef-47ce-9d4d-94d938c2464d
61,Alle Farben & Ilira,Fading,69270c54-2b1b-45d5-a7ef-2e5c24ab6986
62,Shindy,DODI,e7d7e74c-b9af-4fae-9912-fd84a0d87b54
63,Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart,1b284e3e-028f-41bc-a4dc-2ec4b48f717a
64,Tim Bendzko,Hoch,a2780610-7644-4380-91a8-ae6bd7bb2b54
65,Lum!x & Gabry Ponte,Monster,1d42f997-1e0f-439c-9d44-e3f42dfae65f
66,Dean Lewis,Be Alright,56ecea22-39b5-40fb-967a-874cf6aee4ca
67,R3hab x A Touch Of Class,All Around The World (La La La),f8841d5a-cab4-4260-801d-ce6b0125a195
68,The Prince Karma,Later Bitches,2faa4494-7f39-4209-b277-7545b699b84d
69,Loud Luxury feat. Brando,Body,8a47779f-7200-4cdc-99ea-e812418db1b9
70,Shirin David feat. Maître Gims,On Off,5b71c759-6986-402b-bd52-fc3f6bb938d1
71,Eno feat. Mero,Ferrari,140c46d4-d681-4f10-9ec8-e758998f4481
72,Luciano,La haine,3f32bba1-dec7-41be-9b4d-5db66df4c811
73,Samra x Capital Bra,Huracan,
74,Regard,Ride It,3a0b59f5-d12f-46b9-81df-cb774457d18b
75,Eno,Blackberry Sky,92b84f46-f685-495a-98be-0ea75ae63808
76,Robin Schulz feat. Harlœ,All This Love,8bf2cfaf-dccf-42e9-8f09-d1e5f031abad
77,The Cratez & Bonez MC,Honda Civic,
78,Gaullin,Moonlight,17b109ba-d20f-4900-84a5-b26674f97039
79,Lena x Nico Santos,Better,
80,Marshmello & Bastille,Happier,623b7611-08d9-4115-acd6-69f734dd3f24
81,Samra x Capital Bra,Zombie,
82,Kerstin Ott & Helene Fischer,Regenbogenfarben,cc6576c1-084b-4ac5-8d64-d08915684005
83,Dominic Fike,3 Nights,c30751de-fa51-408f-a349-ec7a6c88c4b5
84,"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki,11ec2041-0869-4c83-95af-c99838d6e917
85,Fero47,Jaja,94c867b8-d300-4fc4-89e9-9f2805991f6a
86,Post Malone,Circles,a02e147c-18d3-4d2a-aa3d-4444ce90b517
87,Samra,Harami,4f2e2872-2a52-4836-978d-8ab7ae2fb214
88,RIN & Bausa,Keine Liebe,5569f762-2d4c-4cdc-aa6e-ea1f55305c49
89,Loredana,Genick,a70dd7c8-bcca-43d6-ab2f-dae0641eaf97
90,Post Malone feat. Young Thug,Goodbyes,69e7a6b5-cff8-4174-a6f4-c5818f655ed7
91,SDP feat. Capital Bra,Viva la Dealer,98b2c967-1c57-43f3-ac20-d7729275ed98
92,Summer Cem feat. Luciano,Summer Cem,bbfbce13-5034-4350-822a-428f04dec73b
93,Apache 207,Kein Problem,43f664bc-d518-4a9b-bf74-10623dcf7bba
94,KC Rebell,Alleen,7e6e93ba-8a4d-4f0c-98c5-7f22cf56a65b
95,Martin Garrix feat. Macklemore & Patrick Stump of Fall Out Boy,Summer Days,b7f65861-c041-41a3-bb4b-a093ffc297a2
96,Ava Max,So Am I,c9009764-ddab-4888-bd75-cbd8f9d225ca
97,Kontra K feat. Veysel,Blei,0cc7e618-0089-4444-b66b-4a4ab5b64447
98,Capital Bra x Samra,Nummer 1,
99,Ufo361 feat. Data Luv,Shot,b252879c-dbd9-4987-8e5b-79ea7c1d7c1a
100,The Chainsmokers & Illenium feat. Lennon Stella,Takeaway,
