Position,Artist,Title,MBID
1,Lil Nas X,Old Town Road,4d1bb5a1-14ba-438d-b96d-070704f400f5
2,Tones And I,Dance Monkey,fceef8ab-f844-45e8-822a-12d0ed536a4c
3,Apache 207,Roller,0dadaff9-765e-4b51-965d-df8f812706b9
4,Juju feat. Henning May,Vermissen,13f44f85-6728-4653-9793-e80b781d7dd9
5,Ava Max,Sweet But Psycho,745cc4a1-b551-44d1-9d47-cc6ef7ad97b9
6,Billie Eilish,Bad Guy,f8c8ea7a-1598-4c21-8814-6bc326549e6b
7,Shawn Mendes & Camila Cabello,Señorita,bef6b06e-f06a-4af4-a4c4-8b91a9864847
8,Ed Sheeran & Justin Bieber,I Don't Care,09fe14ca-7734-4fa0-9365-8159d236d7af
9,Capital Bra x Samra,Tilidin,
10,Samra & Capital Bra,Wieder Lila,
11,Daddy Yankee feat. Snow,Con calma,
12,Lewis Capaldi,Someone You Loved,b3aa767f-c9a0-452f-ba68-ff682e6acb3a
13,Meduza feat. Goodboys,Piece Of Your Heart,3d98705c-d5fd-42ed-98db-a9ed204bc09d
14,Capital Bra x Samra & Lea,110,
15,Sarah Connor,Vincent,d2e5b8a6-fc91-4ec5-9761-4d439c62f05e
16,Lady Gaga & Bradley Cooper,Shallow,e8191687-56bf-4e69-860f-a898735ec268
17,Bonez MC & RAF Camora,500 PS,7eb66f70-2431-478b-8cbc-41e5d3096993
18,Mabel [UK],Don't Call Me Up,
19,Dynoro & Gigi D'Agostino,In My Mind,5ff2c18e-5d6b-41e9-a817-70a952de388a
20,Rammstein,Deutschland,08cf6edd-bdb9-428a-8799-1cba06986816
21,Capital Bra,Cherry Lady,66f8e9d0-dbbd-4ca7-ae3d-4bce2c274a1e
22,Apache 207,200 km/h,e9e6a80e-9362-4e73-9818-4d750b7ad75f
23,Capital Bra,Benzema,ce39a5fe-e4bd-4421-ac77-3b90100a7d63
24,Capital Bra,Prinzessa,a247eb7d-517e-4615-8472-5ded46128cb6
25,Ed Sheeran feat. Khalid,Beautiful People,611ffa00-29c1-46bc-843e-2f2168101ec8
26,Bausa,Mary,417bead8-8e6a-4512-a29f-d849d021fbf6
27,Robin Schulz feat. Erika Sirola,Speechless,9d67e1d3-44ca-41d6-96cc-71d91f1cacc2
28,Panic! At The Disco,High Hopes,f3e9f6f4-130c-420f-b90e-aa1bad4263b5
29,Mero,Wolke 10,78592217-3515-4d99-bde8-f54a17797487
30,DJ Snake & J Balvin feat. Tyga,Loco contigo,
31,Sido,Tausend Tattoos,48177a37-4b6d-46bf-b089-024527bdc63a
32,Imagine Dragons,Bad Liar,032fe649-9177-48b0-9e14-08789a06bbc8
33,Calvin Harris & Rag'n'Bone Man,Giant,8bd6e418-47bc-4f7b-85c6-b9c9a713208f
34,Loredana feat. Mozzik,Eiskalt,9b571f8d-51ed-4474-86e6-ff69bddedab2
35,Mero,Baller los,b16254ec-2232-4e33-9852-9909047d0574
36,Avicii feat. Aloe Blacc,SOS,cc9a703a-6503-45cd-8b5a-6c420ff376f3
37,Shirin David,Gib ihm,f89fcb7d-bcb9-4457-b580-16a8cf74f63a
38,C Arma,Yapma,9e3206be-a26a-4432-ab59-f8dbe322cb1b
39,Post Malone,Wow.,598d2cde-c0f1-4d99-9089-b878eb833867
40,Loredana,Jetzt rufst du an,fbcab07a-973d-46e2-846a-27dbfec9043b
41,Ariana Grande,7 Rings,36079c42-c733-41bc-9618-4eeca730a9e4
42,KC Rebell feat. Summer Cem & Capital Bra,DNA,
