Position,Artist,Title
1,Dynoro & Gigi D'Agostino,In My Mind
2,Ed Sheeran,Perfect
3,Bausa,Was du Liebe nennst
4,Calvin Harris & Dua Lipa,One Kiss
5,Dennis Lloyd,Nevermind
6,El Profesor,Bella ciao (Hugel Remix)
7,Namika feat. Black M,Je ne parle pas français (Beatgees Remix)
8,Clean Bandit feat. Demi Lovato,Solo
9,Marshmello & Anne-Marie,Friends
10,Luis Fonsi & Demi Lovato,Échame la culpa
11,Olexesh feat. Edin,Magisch
12,Drake,God's Plan
13,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days
14,Camila Cabello feat. Young Thug,Havana
15,Capital Bra feat. Ufo361,Neymar
16,Bonez MC & RAF Camora,500 PS
17,Eminem feat. Ed Sheeran,River
18,Summer Cem & Bausa,Casanova
19,Nico Santos,Rooftop
20,Loud Luxury feat. Brando,Body
21,Post Malone feat. 21 Savage,Rockstar
22,David Guetta & Sia,Flames
23,Tom Walker,Leave A Light On
24,Capital Bra feat. Juju,Melodien
25,Maroon 5 feat. Cardi B,Girls Like You
26,Capital Bra,One Night Stand
27,Die Fantastischen Vier feat. Clueso,Zusammen
28,Alvaro Soler,La cintura
29,Jonas Blue feat. Jack & Jack,Rise
30,Ramz,Barking
31,The Chainsmokers,Sick Boy
32,LEA,Leiser
33,Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away
34,Ed Sheeran,Shape Of You
35,Post Malone,Better Now
36,Jason Derulo feat. French Montana,Tip Toe
37,Liam Payne & Rita Ora,For You (Fifty Shades Freed)
38,Calvin Harris & Sam Smith,Promises
39,Justin Timberlake feat. Chris Stapleton,Say Something
40,"Cardi B, Bad Bunny & J Balvin",I Like It
41,G-Eazy & Halsey,Him & I
42,Lost Frequencies & Zonderling,Crazy
43,Summer Cem,Tamam Tamam
44,Nicky Jam x J Balvin,X
45,Jax Jones feat. Ina Wroldsen,Breathe
46,Ofenbach vs. Nick Waterhouse,Katchi
47,Luis Fonsi feat. Daddy Yankee,Despacito
48,Dua Lipa,IDGAF
49,Zedd / Maren Morris / Grey,The Middle
50,Rin,Dior 2001
51,Azet feat. RAF Camora,Qa bone
52,Bonez MC & RAF Camora feat. Gzuz,Kokain
53,Armin van Buuren,Blah Blah Blah
54,Panic! At The Disco,High Hopes
55,Capital Bra,5 Songs in einer Nacht
56,Justin Bieber + BloodPop®,Friends
57,"Benny Blanco, Halsey & Khalid",Eastside
58,Drake,In My Feelings
59,Kay One feat. Pietro Lombardi,Señorita
60,Robin Schulz & Marc Scibilia,Unforgettable
61,Ariana Grande,No Tears Left To Cry
62,Sean Paul + David Guetta feat. Becky G,Mad Love
63,Eli [DE],Change Your Mind
64,NF,Let You Down
65,Kygo feat. Miguel,Remind Me To Forget
66,George Ezra,Shotgun
67,Rea Garvey feat. Kool Savas,Is It Love?
68,Rita Ora,Anywhere
69,Dardan,Facetime
70,Eno,Mercedes
71,Selena Gomez x Marshmello,Wolves
72,XXXTentacion,Sad!
73,Leon Machère,Copacabana
74,Post Malone feat. Ty Dolla $ign,Psycho
75,Marshmello feat. Khalid,Silence
76,Portugal. The Man,Feel It Still
77,Pietro Lombardi,Phänomenal
78,Marshmello & Bastille,Happier
79,Bushido feat. Samra & Capital Bra,Für euch alle
80,Loredana x Mozzik,Bonnie & Clyde
81,Bonez MC & RAF Camora,Risiko
82,Axwell Λ Ingrosso,More Than You Know
83,George Ezra,Paradise
84,Dean Lewis,Be Alright
85,James Hype feat. Kelli-Leigh,More Than Friends
86,Imagine Dragons,Whatever It Takes
87,Kygo & Imagine Dragons,Born To Be Yours
88,Capital Bra,Berlin lebt
89,Shawn Mendes,In My Blood
90,J Balvin & Willy William,Mi gente
91,Zayn feat. Sia,Dusk Till Dawn
92,"Alle Farben, Kelvin Jones & Younotus",Only Thing We Know
93,Felix Jaehn feat. R. City & Bori,Jennie
94,Anne-Marie,2002
95,Wincent Weiss,An Wunder
96,Robin Schulz & Piso 21,Oh Child
97,Lea x Cyril,Immer wenn wir uns sehn
98,RAF Camora,Primo
99,"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard
100,Dua Lipa,New Rules
