Position,Artist,Title,MBID
1,DJ Robin & Schürze,Layla,0c1b669c-9f0d-4654-94e9-eec12fbd8985
2,Glass Animals,Heat Waves,ba41bbef-81c5-465b-8bc1-127d6e2300d2
3,Luciano,Beautiful Girl,e30648f8-9505-41d0-ab28-972c7e24ade4
4,Gayle,abcdefu,920dd9ae-190a-4026-9189-410ed9b82e48
5,Ed Sheeran,Shivers,72ed51c6-271c-4585-a210-ed3f27aceee7
6,Harry Styles,As It Was,e0bf757c-e18c-47aa-9436-b47d100d1b24
7,Lost Frequencies / Calum Scott,Where Are You Now,
8,Miksu / MacLoud & T-Low,Sehnsucht,a2a17112-bb60-4b63-9640-12a3d00573a2
9,Elton John & Dua Lipa,Cold Heart,9c5c9b98-965e-4bc8-8e2a-4ca730aabcb3
10,Nina Chuba,Wildberry Lillet,20f11dbc-d34f-46f1-8eeb-3c1f6cc24967
11,Farruko,Pepas,f715662c-689c-4ca9-bc90-ad7fd54b851e
12,Miksu / MacLoud / Makko,Nachts wach,
13,Tom Odell,Another Love,6025b28c-92bc-4872-9edd-9532ffbeeb03
14,Ed Sheeran,Bad Habits,1f26224d-4ad0-456b-9316-f184de0b68bf
15,Ion Miles / SiraOne / BHZ,Powerade,
16,The Kid Laroi / Justin Bieber,Stay,
17,Tiësto & Ava Max,The Motto,984e869b-9ac7-45a8-9d26-458868934cd8
18,Imagine Dragons x JID,Enemy,0f56753c-1986-4188-b1d5-0229a657870a
19,Montez,Auf & ab,6c4875f8-9f7e-4b57-b5e6-66133cdba210
20,Acraze feat. Cherish,Do It To It,36185156-aa12-4d65-8e89-cc19deecdc81
21,Leony,Remedy,d29b1012-c259-4172-9d11-b8160ca4d38c
22,Domiziana,Ohne Benzin,67123597-9d2e-44f9-a38d-6c4175eaf0f2
23,James Hype & Miggy Dela Rosa,Ferrari,ef0567e0-aa99-45ae-bcbc-8c5942f998ad
24,Imanbek & BYOR,Belly Dancer,00ec8ca4-361a-47d7-8293-bbc9eea0b330
25,Jason Derulo,Acapulco,1c021134-3090-4e11-ae18-2598a63a0623
26,Shouse,Love Tonight,558f49ba-80b8-43ca-85e4-1d5b77cbad2d
27,Jaymes Young,Infinity,46bc4b1d-e225-40d0-a6fd-5317fdbf522a
28,Liaze,Paradise,cb11d351-6141-4b5b-8cc7-fde7f570a8d7
29,T-Low & Miksu / Macloud,We Made It,
30,David Guetta & Bebe Rexha,I'm Good (Blue),f3f5fa49-72c9-4eac-8d3a-e5c2edad2e85
31,Öwnboss & Sevek,Move Your Body,59e4caa3-9887-4366-8b79-6108bf506f35
32,Nathan Evans,Wellerman,222a7f31-8528-4a25-8b81-9eda131dfce3
33,Sido,Mit Dir,8e75819c-af3d-4553-9651-8c35d4e5a601
34,Civo,Weg von mir,58a4a4d1-b3ba-4a71-bbe6-04ad165db758
35,Kate Bush,Running Up That Hill,478f0cd9-ff3e-4c03-b7e8-f0d313341f5f
36,Kummer feat. Fred Rabe,Der letzte Song (Alles wird gut),f3d44a4e-dbf6-4012-b69c-c48ce9ba64b2
37,Luciano x Aitch x Bia,Bamba,
38,Camila Cabello feat. Ed Sheeran,Bam Bam,6dec2e9d-ccfd-4eca-9284-e4f1ba810945
39,Julian Sommer,Dicht im Flieger,7092314e-b331-49a8-8834-ded2cba862a3
40,Rosa Linn,Snap,114c265a-fa02-41de-83b8-9cd8903b16da
41,Kamrad,I Believe,bb7c556c-768d-4138-a068-d23af02d02c6
42,Kontra K feat. Sido & Leony,Follow,4422e4c9-c815-404b-b047-b470e76e7c9a
43,Sam Smith & Kim Petras,Unholy,681624d0-0488-4748-b9bb-b3c315197692
44,Pajel,10von10,a2c09319-d701-4c93-ab02-9835191df46d
45,Purple Disco Machine + Sophie And The Giants,In The Dark,
46,Luude feat. Colin Hay,Down Under,4634f016-fe1c-42db-b732-8acbbc0d113b
47,Lil Nas X,Thats What I Want,d796a70d-65c6-4ee8-bec7-1a3979c6cb78
48,Southstar,Miss You,c2dd0106-d6e6-4a8d-8f41-a1336fdf3f85
49,Jack Harlow,First Class,ffc56d4a-7306-41df-8431-c2fb094f180b
50,Elley Duhé,Middle Of The Night,2099fed1-d4ec-4dfd-8bc7-cb34c82adedf
51,The Weeknd,Save Your Tears,1e39f660-b464-4743-b775-f9cbbb95e2b7
52,Alvaro Soler / Ray Dalton,Manila,
53,Peter Fox feat. Inéz,Zukunft Pink,d9120513-31f7-4733-b17e-e46813e9f5e6
54,Pashanim,Sommergewitter,6a9b8815-76ec-4481-9081-4192a69831bd
55,RAF Camora feat. Bonez MC,Blaues Licht,
56,1986zig,Kopf aus,fceba82a-1400-42e4-a057-2515f481515f
57,Glockenbach x ClockClock,Brooklyn,
58,OneRepublic,I Ain't Worried,eff0d22b-fe0c-45ea-88a7-1295f56d76f5
59,SDP feat. Clueso,Die schönsten Tage,dafde5f2-d4c4-4eb3-a9b4-172056445723
60,The Weeknd,Blinding Lights,5bdbfe86-4ad5-4c19-8d29-ee5f30ba628b
61,Die Zipfelbuben feat. DJ Cashi,Olivia,a59a6a5b-25fc-45b0-bd6f-c1bc91ea4c7c
62,Lil Nas X & Jack Harlow,Industry Baby,13dac323-afa2-4787-a21b-d18275a3869b
63,Chris Brown,Under The Influence,e86392c3-7f16-4b57-8e37-628d7e14756f
64,Apache 207,Roller,0dadaff9-765e-4b51-965d-df8f812706b9
65,Olivia Rodrigo,Good 4 U,f4053f4c-c710-414d-8b7d-434dcb304e02
66,Endzone / TM,61 Grad,
67,Jax Jones feat. MNEK,Where Did You Go?,b5d2067d-3671-4625-ac22-eb2e4fb56f62
68,Robin Schulz & Dennis Lloyd,Young Right Now,b57397b9-6339-41ac-b3cb-1c139cea3144
69,Emilio,Ausmacht,3504e326-0672-407f-83ed-592219d5be18
70,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do,67a7271f-d837-4686-ab4c-e8c859f12f93
71,Mariah Carey,All I Want For Christmas Is You,88b1a733-5935-47c6-a2b2-9f72f072948f
72,Adele,Easy On Me,327f17da-5416-4ba6-90a4-ff4e4cf068c7
73,ClockClock,Sorry,9055b00a-82f9-4997-a51b-b4981c04a9ce
74,Benzz,Je m'appelle,65d2e887-8bc2-4d9d-b391-44c40693d982
75,Wham!,Last Christmas,b92c457a-fd20-4212-aeab-709c856417c9
76,Tinlicker & Helsloot,Because You Move Me,366d3cbd-1ecb-4b95-9a0f-2e8ff4f5a461
77,Topic x A7S,Kernkraft 400 (A Better Day),
78,Panic! At The Disco,House Of Memories,49b12c1a-a7a1-4f20-87f3-7e938d723930
79,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit),d4a98fd3-9dba-45af-b777-24c5a7d8535c
80,Gzuz,Späti,24160618-88b4-4393-bafd-db1e1a4d6a86
81,Nicky Youre & Dazy,Sunroof,ea289123-e762-4aba-b4d2-df2f96291e89
82,Macklemore & Ryan Lewis feat. Ray Dalton,Can't Hold Us,25a2c3cc-0383-461a-a813-d22318df4b0f
83,Shawn Mendes,When You're Gone,bfd1906c-04a1-4991-8d83-96248424e729
