Position,Artist,Title,MBID
75,Bonez MC,Angeklagt,0ce31eeb-8fbb-4d43-b57f-4f0e8173ff90
76,Black Eyed Peas x J Balvin,Ritmo (Bad Boys For Life),0a31fc1b-e298-446a-a6fd-4b9f707df237
77,Samra x Elif,Zu Ende,8e46df9c-c08d-4e4a-83a8-a5d37020aaad
78,Purple Disco Machine & Sophie And The Giants,Hypnotized,ac215e7f-6df2-4523-98e7-ac52ff8859b3
79,Future feat. Drake,Life Is Good,03365c43-b4d2-4a8d-9ba9-96440afb4d66
80,KC Rebell x Summer Cem,Fly,
81,Kool Savas x Alies,AMG,
82,Meduza x Becky Hill x Goodboys,Lose Control,d61fefaf-2ab5-45c1-8308-de9f4d8fb3a6
83,Dardan & Monet192,H <3 T E L,7e06a1c4-5594-488f-97d4-3153096aef01
84,Céline [DE],Tränen aus Kajal,
85,Samra,Weiss,53c0286b-97fd-4542-a017-e2de1b6d0552
86,Sam Feldt feat. Rani,Post Malone,a9bf3cb9-a3ae-4f06-a7eb-1042d62ac6ab
87,Black Eyed Peas / Ozuna + J. Rey Soul,Mamacita,
88,Lewis Capaldi,Before You Go,25ba6db3-bbad-4c54-8714-25e6566f01cc
89,Arizona Zervas,Roxanne,b70a8007-0c19-41cf-9a4f-9844c1b0e065
90,Jerome [DE],Light,
91,Nico Santos & Topic,Like I Love You,07e3b838-6363-4e04-b788-eabccf0846a6
92,Apache 207,Matrix,85762f19-d7fd-45be-b3f3-8c95e7fa425a
93,Tujamo - Vize - Majan,Lonely,
94,Kontra K feat. Samra,Tiefschwarz,2cbb709c-e806-41a8-8751-97694a500fed
95,Bonez MC,Fuckst mich nur ab,4adc7f74-16bf-494a-95ba-2553f83b4143
96,Cardi B feat. Megan Thee Stallion,WAP,3af602f0-e273-4d66-83c2-8d55243cc56b
97,Post Malone,Circles,9d0a9e5c-a765-40ab-837e-99b0bb197f6c
98,Apache 207,Doch in der Nacht,78d6edbd-2253-4c10-845b-1a93bdc1e81f
99,Lady Gaga & Ariana Grande,Rain On Me,d12f9759-678e-424a-b1f8-6329c73caf91
100,Miley Cyrus,Midnight Sky,aaf59b85-2f5d-40e7-917a-357b9662c1e0
