Position,Artist,Title,MBID
1,Alan Walker,Faded,5022e533-7f26-4e5d-8dbf-a23debb540b4
2,Stereoact feat. Kerstin Ott,Die immer lacht,40eda342-9655-45f9-a620-97db83ea8bad
3,Sia feat. Sean Paul,Cheap Thrills,7a6e19a3-41a2-46d9-8d25-9d7cb5c2363c
4,Imany,Don't Be So Shy (Filatov & Karas Remix),f8564d8c-eb2a-48be-83ab-618fc44a647d
5,Drake feat. Wizkid & Kyla,One Dance,be9e4a6b-3f56-468a-aa61-b1bcb6fc277f
6,Kungs vs. Cookin' On 3 Burners,This Girl,a21f0ca9-261f-40bf-a2b0-8e6a482b4ea8
7,The Chainsmokers feat. Daya,Don't Let Me Down,3e68c583-6ec5-440f-9079-2f270756535b
8,Twenty One Pilots,Stressed Out,161c8971-a425-4488-a167-b68ad7a52ed9
9,Rag'n'Bone Man,Human,b798b3b3-1d1b-4684-b2a5-5745bbc701c2
10,Justin Timberlake,Can't Stop The Feeling!,724a69dc-6e30-4830-b8cc-f94085a8d505
11,Mike Posner,I Took A Pill In Ibiza,39962bda-fd46-4d5f-97ae-e742a6473b23
12,Justin Bieber,Love Yourself,f127ad36-d371-4ec3-a6e8-2f2bac5b2eca
13,Jonas Blue feat. Dakota,Fast Car,5d1538f0-af74-45d8-affa-0aebd489a52b
14,Disturbed,The Sound Of Silence,5d4d7efb-f46a-432f-aa55-1dda1211e6f7
15,Major Lazer feat. Justin Bieber & MØ,Cold Water,855128d3-4295-4a70-ad61-910b370ad0ea
16,DJ Snake feat. Justin Bieber,Let Me Love You,7933f18b-766a-44bf-93bd-46fbe85f29ec
17,Calvin Harris feat. Rihanna,This Is What You Came For,30ac9667-bc70-4541-a022-a3a881784ec2
18,The Chainsmokers feat. Halsey,Closer,3d6a21b3-3710-468f-a049-d1c5bee0863d
19,G-Eazy x Bebe Rexha,"Me, Myself & I",bb9927e2-8996-4be6-bb5e-ee6bbaa93bdb
20,Jennifer Lopez,Ain't Your Mama,7bc4ec80-3c68-4e7a-bc58-fa5cc2e9526f
21,Mark Forster,Wir sind gross,2cebf513-d08a-4e6d-bf7f-5193eacf17e8
22,Lukas Graham,7 Years,ed429e45-ca92-4d70-ba45-aed911042a6a
23,Felix Jaehn feat. Alma,Bonfire,28057e31-9841-415b-95ae-1674d4dcf7ee
24,Shawn Mendes,Treat You Better,409eef7e-e80f-4d80-90b3-a27cf256f523
25,Andreas Gabalier,Hulapalu,52f0e20d-3e80-442e-915d-4016a62663bd
26,Alle Farben feat. Younotus,Please Tell Rosie,eb9a7d5b-41cf-43e6-a9f5-6d15ddc4563a
27,Mike Perry feat. Shy Martin,The Ocean,56189ee1-db57-40e9-94c6-54e28901ebf3
28,Coldplay,Hymn For The Weekend,b8e2999b-6973-40b3-884c-740003d129ae
29,Major Lazer feat. Nyla & Fuse ODG,Light It Up (Remix),95f8588d-612f-4832-87a6-4aab65a46be6
30,Fifth Harmony feat. Ty Dolla $ign,Work From Home,f8d1265c-b0a3-4683-af04-1c9ea808d70e
31,Max Giesinger,80 Millionen,1107e8d1-2f91-4b69-994f-82c699d80e62
32,Desiigner,Panda,0143f212-81c2-464d-b626-15e8cbd8f17d
33,Gnash feat. Olivia O'Brien,"I Hate U, I Love U",0972b23d-9817-49f1-b648-1010db86b70d
34,Twenty One Pilots,Heathens,ce89ea60-ddc8-44eb-9575-c60b836c93a3
35,Shawn Mendes,Stitches,6d8c6513-3cd9-4784-bdf3-8df811605529
36,DNCE,Cake By The Ocean,2dc750ed-0e22-4c3c-9edf-dd4cfd1ab52f
37,Galantis,No Money,42a38f7f-e8ef-4520-8c55-acdf491fe27a
38,Beginner feat. Gzuz & Gentleman,Ahnma,bb9c0d31-3141-4bba-a83a-ef9abc1e58c3
39,EFF,Stimme,681bb5c2-b7ab-403d-b782-6b0ddb714815
40,Glasperlenspiel,Geiles Leben,92cf3354-f79a-4ae8-8e43-5b685f495465
41,257ers,Holz,3f78e559-5895-441f-8667-0996aef90ed7
42,David Guetta feat. Zara Larsson,This One's For You,de7e3e07-fd7b-4b0a-982e-63a5c0c288f8
43,Rihanna feat. Drake,Work,771e2d85-e47a-4438-bfd4-c760b97786cf
44,Sia feat. Kendrick Lamar,The Greatest,39051012-d920-4a47-9cf3-9aa0b5edfe23
45,Cheat Codes x Kris Kross Amsterdam,Sex,2f28aebf-7be6-4195-b26f-989a2308d916
46,"Lil Wayne, Wiz Khalifa & Imagine Dragons feat. Logic, Ty Dolla $ign & X Ambassadors",Sucker For Pain,
47,Bonez MC & RAF Camora,Palmen aus Plastik,90fee432-08cc-4ad3-acfd-647acca76905
48,Justin Bieber,Sorry,336810fb-be64-487c-a9f7-41db19fc0615
49,The Weeknd feat. Daft Punk,Starboy,b364d4ff-b8cf-41ed-8f8c-7551bc707b57
50,Jonas Blue feat. JP. Cooper,Perfect Strangers,e42d264d-658e-42fc-acef-f571c975a2b3
51,Alan Walker,Sing Me To Sleep,15d969e0-ed3a-48ce-a691-95c7bba2f3a9
52,Matt Simons,Catch & Release (Deepend Remix),18c339dd-4f19-44a3-b886-d91b5f024bb4
53,"David Guetta, Cedric Gervais & Chris Willis",Would I Lie To You,520a98aa-26b1-40ac-a8a8-27611e4b584f
54,Zara Larsson,Lush Life,3bc2767b-6856-49ec-8b9b-fc69df91bb6f
55,Bonez MC & RAF Camora feat. Maxwell,Ohne mein Team,dba8ab92-1d66-4ba7-9462-5465b0926745
56,Topic feat. Nico Santos,Home,4e15d282-0833-470b-989e-ee73f06f9737
57,Era Istrefi,Bonbon,ad92d94f-9015-4088-a56b-60afd0d0400c
58,Calvin Harris,My Way,65ccef3f-1e3f-446a-9b3a-11acd794cc5b
59,Clean Bandit feat. Sean Paul & Anne-Marie,Rockabye,13f7ba19-553d-444a-81c1-e7fea9739bc9
60,Martin Garrix & Bebe Rexha,In The Name Of Love,db611417-b2e9-41bb-94eb-c19281dedbed
61,Elle King,Ex's & Oh's,566f18b4-a21d-4eb3-bf3d-61e36a9cf172
62,Enrique Iglesias feat. Wisin,Duele el corazón,
63,MØ,Final Song,11dc0528-6a2d-40cd-8498-bb15d65ef837
64,Frans,If I Were Sorry,71ae4bcc-6c7b-49d8-a547-52017a77b5be
65,Drake feat. Rihanna,Too Good,63a6a97b-90be-410e-b5ed-03973e5a55ea
66,Julian Perretta,Miracle,fe088250-fc88-452f-a758-b9ed0d9672fd
67,Flo Rida,My House,d2ed4cd6-b8bc-4500-bba6-56518c3c76ef
68,The Strumbellas,Spirits,f677d457-ac20-4151-b619-c114ffd6bec6
69,Walking On Cars,Speeding Cars,8492fcd6-1ad2-4d09-b801-612f58359805
70,Adele,Hello,8e9d3c19-f2c2-4b41-9488-6a75a2d7d5ee
71,X Ambassadors,Renegades,f78d3199-309d-4e80-b5c3-da0aa44fd925
72,Dua Lipa,Be The One,7845be64-1911-4dd0-a934-14c96df56376
73,Twenty One Pilots,Ride,2b5a82a9-5828-42a6-bbb7-3d6976d1df68
74,257ers,Holland,46e3b5ee-ac8b-4a78-9ead-930d2a84c8be
75,Robin Schulz & J.U.D.G.E.,Show Me Love,c0af0680-0700-4e4d-81ff-824835c4bac3
76,Mark Forster,Chöre,bcea27ee-3d28-404e-8409-2b16637d1e99
77,SDP feat. Adel Tawil,Ich will nur dass du weißt,6298b3c9-0712-416f-a9df-223ce375a287
78,Zara Larsson & MNEK,Never Forget You,f2b1a950-7feb-494f-a312-4bc64aba866e
79,James Arthur,Say You Won't Let Go,4e16dd07-0638-47a2-89e2-0628224db5f9
80,Alvaro Soler,Sofia,208b52d6-63cb-410b-9f05-5610e5b8cb63
81,Wincent Weiss,Musik sein,89a429ec-a5a4-451e-9761-2a4ef2bd3b05
82,Robin Schulz feat. Francesco Yates,Sugar,fae51718-c255-4c91-88f5-9e1ba55888af
83,Milow,Howling At The Moon,9daeef38-1532-4542-8fcf-76c2c3ba3bbc
84,Sigala feat. Bryn Christopher,Sweet Lovin',bd4b6527-27eb-42f1-8525-a560a0ffb752
85,Robin Schulz feat. Akon,Heatwave,9266008e-b82c-4091-a6b1-ae07afecb077
86,The Chainsmokers feat. Rozes,Roses,dbcc8c42-8291-4853-bbd4-62bf6c0a774f
87,Miami Yacine,Kokaina,482ffcd4-026d-4ee1-841c-03b16acb5047
88,Zayn,Pillowtalk,1904ff80-80ff-492d-b7b0-9ac75a8b9dbf
89,Zara Larsson,Ain't My Fault,9184aef3-2db2-404b-9ada-c21dbbe6ee81
90,Yall feat. Gabriela Richardson,Hundred Miles,67ca9148-7c71-462a-8079-7c972cfef7c0
91,Ali Bumaye feat. Shindy,Sex ohne Grund,919d09eb-ed92-4505-a8a4-71855bc6a8bb
92,Meghan Trainor,No,3bd46795-5eac-495c-a823-c9fad29f4ea9
93,Shawn Mendes,Mercy,3fe5fba9-8892-433a-9a13-df6b9c8ca29e
94,Lil Kleine & Ronnie Flex,Stoff und Schnaps,20dbbac4-540c-4dfb-9bdc-09951c878e98
95,Frenship + Emily Warren,Capsize,
96,Ariana Grande feat. Nicki Minaj,Side To Side,f09bc267-0dd0-4fe1-bc9e-1864915ad9fb
97,Sido feat. Andreas Bourani,Astronaut,4f019f6f-1331-4766-9ff3-b680211d150b
98,Bonez MC & RAF Camora feat. Gzuz,Mörder,704ecdb3-4ee3-488d-b350-b7e8cad45658
99,OneRepublic,Wherever I Go,d2353b83-20d1-4827-88f3-83b1d4ac19a8
